Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
7.8	8.572575	1	8.572575	1	8.572575	0	8.572575	2	8.572575	1
7.9	8.597504	1	8.597504	0	8.597504	3	8.597504	0	8.597504	0
8	8.622506	1	8.622506	0	8.622506	1	8.622506	1	8.622506	1
8.1	8.647581	1	8.647581	1	8.647581	0	8.647581	0	8.647581	1
8.2	8.67273	0	8.67273	0	8.67273	0	8.67273	1	8.67273	1
8.3	8.698038	1	8.698038	0	8.698038	2	8.698038	1	8.698038	0
8.4	8.723336	0	8.723336	1	8.723336	3	8.723336	0	8.723336	0
8.5	8.748708	3	8.748708	0	8.748708	0	8.748708	0	8.748708	0
8.6	8.774154	2	8.774154	0	8.774154	0	8.774154	0	8.774154	0
8.7	8.799676	1	8.799676	0	8.799676	0	8.799676	0	8.799676	0
8.8	8.825186	0	8.825186	1	8.825186	3	8.825186	1	8.825186	0
8.9	8.850857	1	8.850857	0	8.850857	1	8.850857	1	8.850857	0
9	8.876604	0	8.876604	0	8.876604	1	8.876604	0	8.876604	2
9.1	8.902426	3	8.902426	2	8.902426	0	8.902426	0	8.902426	1
9.2	8.928324	0	8.928324	2	8.928324	2	8.928324	1	8.928324	1
9.3	8.954387	1	8.954387	0	8.954387	0	8.954387	1	8.954387	0
9.4	8.980438	1	8.980438	2	8.980438	1	8.980438	0	8.980438	3
9.5	9.006567	3	9.006567	1	9.006567	1	9.006567	0	9.006567	1
9.6	9.032772	2	9.032772	2	9.032772	0	9.032772	0	9.032772	1
9.7	9.058966	1	9.058966	1	9.058966	2	9.058966	0	9.058966	1
9.8	9.085325	2	9.085325	0	9.085325	3	9.085325	0	9.085325	1
9.9	9.111761	2	9.111761	3	9.111761	0	9.111761	1	9.111761	0
10	9.138276	1	9.138276	1	9.138276	0	9.138276	1	9.138276	0
10.1	9.164958	2	9.164958	1	9.164958	0	9.164958	0	9.164958	3
10.2	9.191629	1	9.191629	2	9.191629	1	9.191629	1	9.191629	0
10.3	9.218379	4	9.218379	1	9.218379	1	9.218379	1	9.218379	0
10.4	9.245208	1	9.245208	0	9.245208	2	9.245208	0	9.245208	0
10.5	9.272025	0	9.272025	1	9.272025	1	9.272025	0	9.272025	0
10.6	9.299011	3	9.299011	3	9.299011	0	9.299011	0	9.299011	0
10.7	9.326077	0	9.326077	0	9.326077	0	9.326077	2	9.326077	2
10.8	9.353314	0	9.353314	2	9.353314	1	9.353314	2	9.353314	0
10.9	9.38054	3	9.38054	0	9.38054	1	9.38054	0	9.38054	0
11	9.407846	0	9.407846	1	9.407846	2	9.407846	1	9.407846	0
11.1	9.435141	3	9.435141	1	9.435141	0	9.435141	3	9.435141	1
11.2	9.462608	0	9.462608	0	9.462608	1	9.462608	3	9.462608	1
11.3	9.490155	1	9.490155	2	9.490155	0	9.490155	3	9.490155	1
11.4	9.517784	3	9.517784	3	9.517784	2	9.517784	1	9.517784	1
11.5	9.545588	2	9.545588	1	9.545588	0	9.545588	1	9.545588	0
11.6	9.573381	3	9.573381	0	9.573381	2	9.573381	0	9.573381	0
11.7	9.601255	3	9.601255	0	9.601255	1	9.601255	2	9.601255	1
11.8	9.629117	3	9.629117	1	9.629117	0	9.629117	0	9.629117	3
11.9	9.657156	2	9.657156	0	9.657156	1	9.657156	1	9.657156	2
12	9.685371	3	9.685371	3	9.685371	2	9.685371	1	9.685371	2
12.1	9.713576	3	9.713576	3	9.713576	1	9.713576	3	9.713576	1
12.2	9.741864	2	9.741864	2	9.741864	3	9.741864	1	9.741864	1
12.3	9.77014	7	9.77014	2	9.77014	2	9.77014	3	9.77014	2
12.4	9.798593	3	9.798593	0	9.798593	1	9.798593	0	9.798593	1
12.5	9.827131	2	9.827131	1	9.827131	3	9.827131	1	9.827131	2
12.6	9.85585	1	9.85585	1	9.85585	1	9.85585	2	9.85585	1
12.7	9.884558	3	9.884558	2	9.884558	2	9.884558	3	9.884558	0
12.8	9.913253	2	9.913253	3	9.913253	3	9.913253	1	9.913253	1
12.9	9.942129	3	9.942129	2	9.942129	0	9.942129	3	9.942129	2
13	9.97109	1	9.97109	2	9.97109	0	9.97109	1	9.97109	3
13.1	10.000235	2	10.000235	1	10.000235	1	10.000235	3	10.000235	2
13.2	10.029368	1	10.029368	0	10.029368	0	10.029368	2	10.029368	2
13.3	10.058489	3	10.058489	2	10.058489	3	10.058489	3	10.058489	3
13.4	10.087794	1	10.087794	2	10.087794	1	10.087794	1	10.087794	0
