Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
88.8	98.965465	280	98.965465	229	98.965465	231	98.965465	219	98.965465	215
88.9	99.293895	257	99.293895	235	99.293895	237	99.293895	243	99.293895	200
89	99.623575	247	99.623575	234	99.623575	229	99.623575	222	99.623575	203
89.1	99.954513	254	99.954513	273	99.954513	218	99.954513	230	99.954513	211
89.2	100.286712	252	100.286712	218	100.286712	219	100.286712	230	100.286712	199
89.3	100.620181	232	100.620181	227	100.620181	213	100.620181	220	100.620181	194
89.4	100.954923	242	100.954923	255	100.954923	265	100.954923	235	100.954923	190
89.5	101.290231	246	101.290231	230	101.290231	222	101.290231	233	101.290231	199
89.6	101.627572	237	101.627572	248	101.627572	195	101.627572	222	101.627572	207
89.7	101.966203	247	101.966203	218	101.966203	200	101.966203	213	101.966203	189
89.8	102.306132	243	102.306132	243	102.306132	227	102.306132	198	102.306132	208
89.9	102.647364	223	102.647364	240	102.647364	213	102.647364	217	102.647364	192
90	102.989905	253	102.989905	227	102.989905	199	102.989905	217	102.989905	195
90.1	103.333761	243	103.333761	227	103.333761	210	103.333761	225	103.333761	212
90.2	103.679659	215	103.679659	235	103.679659	216	103.679659	200	103.679659	215
90.3	104.026134	251	104.026134	222	104.026134	210	104.026134	208	104.026134	210
90.4	104.373944	260	104.373944	215	104.373944	220	104.373944	193	104.373944	200
90.5	104.723096	243	104.723096	203	104.723096	217	104.723096	218	104.723096	189
90.6	105.073597	245	105.073597	217	105.073597	188	105.073597	219	105.073597	191
90.7	105.425452	234	105.425452	206	105.425452	213	105.425452	180	105.425452	170
90.8	105.778668	221	105.778668	197	105.778668	198	105.778668	213	105.778668	169
90.9	106.132522	222	106.132522	204	106.132522	189	106.132522	173	106.132522	173
91	106.488512	218	106.488512	220	106.488512	209	106.488512	173	106.488512	161
91.1	106.84588	227	106.84588	225	106.84588	176	106.84588	202	106.84588	168
91.2	107.204635	221	107.204635	206	107.204635	176	107.204635	187	107.204635	156
91.3	107.564781	235	107.564781	182	107.564781	186	107.564781	195	107.564781	135
91.4	107.926327	201	107.926327	191	107.926327	175	107.926327	177	107.926327	158
91.5	108.289278	198	108.289278	209	108.289278	183	108.289278	185	108.289278	154
91.6	108.654385	229	108.654385	177	108.654385	171	108.654385	166	108.654385	174
91.7	109.020135	206	109.020135	187	109.020135	162	109.020135	172	109.020135	170
91.8	109.387313	201	109.387313	176	109.387313	180	109.387313	146	109.387313	152
91.9	109.755924	197	109.755924	214	109.755924	157	109.755924	151	109.755924	152
92	110.125977	199	110.125977	191	110.125977	154	110.125977	170	110.125977	149
92.1	110.497478	208	110.497478	171	110.497478	176	110.497478	182	110.497478	139
92.2	110.870434	201	110.870434	199	110.870434	162	110.870434	187	110.870434	154
92.3	111.244085	186	111.244085	173	111.244085	135	111.244085	166	111.244085	146
92.4	111.620006	181	111.620006	158	111.620006	161	111.620006	163	111.620006	148
92.5	111.997401	182	111.997401	184	111.997401	158	111.997401	156	111.997401	161
92.6	112.376278	175	112.376278	160	112.376278	158	112.376278	163	112.376278	143
92.7	112.756645	201	112.756645	174	112.756645	150	112.756645	157	112.756645	133
92.8	113.138507	189	113.138507	165	113.138507	155	113.138507	151	113.138507	133
92.9	113.521873	181	113.521873	153	113.521873	169	113.521873	163	113.521873	129
93	113.90675	202	113.90675	169	113.90675	148	113.90675	161	113.90675	143
93.1	114.293907	161	114.293907	162	114.293907	137	114.293907	158	114.293907	130
93.2	114.681794	169	114.681794	155	114.681794	160	114.681794	153	114.681794	138
93.3	115.071216	179	115.071216	184	115.071216	138	115.071216	158	115.071216	128
93.4	115.46218	196	115.46218	158	115.46218	136	115.46218	124	115.46218	128
93.5	115.854693	175	115.854693	155	115.854693	151	115.854693	152	115.854693	123
93.6	116.248764	170	116.248764	153	116.248764	154	116.248764	141	116.248764	134
93.7	116.644399	164	116.644399	155	116.644399	136	116.644399	128	116.644399	135
93.8	117.040808	160	117.040808	137	117.040808	126	117.040808	112	117.040808	113
93.9	117.439631	154	117.439631	154	117.439631	131	117.439631	141	117.439631	103
94	117.84004	164	117.84004	163	117.84004	131	117.84004	119	117.84004	115
94.1	118.242044	148	118.242044	140	118.242044	131	118.242044	140	118.242044	104
94.2	118.645649	140	118.645649	136	118.645649	117	118.645649	132	118.645649	107
94.3	119.050865	152	119.050865	128	119.050865	115	119.050865	137	119.050865	112
94.4	119.457698	144	119.457698	143	119.457698	114	119.457698	105	119.457698	101
94.5	119.866158	155	119.866158	149	119.866158	123	119.866158	118	119.866158	98
94.6	120.277061	171	120.277061	124	120.277061	121	120.277061	145	120.277061	112
94.7	120.68876	145	120.68876	116	120.68876	127	120.68876	114	120.68876	99
94.8	121.102111	127	121.102111	138	121.102111	105	121.102111	107	121.102111	97
94.9	121.517123	140	121.517123	124	121.517123	100	121.517123	100	121.517123	120
95	121.933802	167	121.933802	151	121.933802	116	121.933802	107	121.933802	87
95.1	122.352158	135	122.352158	135	122.352158	115	122.352158	99	122.352158	91
95.2	122.772198	132	122.772198	135	122.772198	85	122.772198	102	122.772198	88
95.3	123.193932	155	123.193932	124	123.193932	109	123.193932	122	123.193932	99
95.4	123.616539	130	123.616539	125	123.616539	114	123.616539	106	123.616539	80
95.5	124.041721	140	124.041721	131	124.041721	108	124.041721	101	124.041721	98
95.6	124.46862	135	124.46862	124	124.46862	101	124.46862	111	124.46862	72
95.7	124.897245	146	124.897245	112	124.897245	100	124.897245	102	124.897245	77
95.8	125.327604	150	125.327604	104	125.327604	89	125.327604	93	125.327604	83
95.9	125.759706	129	125.759706	104	125.759706	88	125.759706	101	125.759706	89
96	126.19356	140	126.19356	107	126.19356	102	126.19356	95	126.19356	97
96.1	126.629174	134	126.629174	125	126.629174	92	126.629174	106	126.629174	67
96.2	127.066558	119	127.066558	116	127.066558	88	127.066558	76	127.066558	72
96.3	127.506541	104	127.506541	122	127.506541	99	127.506541	89	127.506541	80
96.4	127.947454	136	127.947454	109	127.947454	83	127.947454	94	127.947454	76
96.5	128.390165	109	128.390165	92	128.390165	98	128.390165	96	128.390165	65
96.6	128.834684	114	128.834684	104	128.834684	83	128.834684	85	128.834684	79
96.7	129.281018	109	129.281018	89	129.281018	82	129.281018	96	129.281018	86
96.8	129.729178	129	129.729178	102	129.729178	76	129.729178	102	129.729178	70
96.9	130.179173	122	130.179173	96	130.179173	83	130.179173	93	130.179173	81
97	130.631011	111	130.631011	90	130.631011	67	130.631011	78	130.631011	84
97.1	131.083843	104	131.083843	94	131.083843	70	131.083843	88	131.083843	64
97.2	131.539436	119	131.539436	89	131.539436	84	131.539436	79	131.539436	66
97.3	131.996899	110	131.996899	102	131.996899	86	131.996899	75	131.996899	70
97.4	132.456243	116	132.456243	86	132.456243	69	132.456243	79	132.456243	63
97.5	132.917475	109	132.917475	91	132.917475	95	132.917475	71	132.917475	72
97.6	133.380608	97	133.380608	94	133.380608	68	133.380608	67	133.380608	72
97.7	133.845649	99	133.845649	101	133.845649	65	133.845649	63	133.845649	66
97.8	134.31261	113	134.31261	97	134.31261	71	134.31261	73	134.31261	61
97.9	134.781499	102	134.781499	85	134.781499	61	134.781499	80	134.781499	65
98	135.253199	98	135.253199	89	135.253199	74	135.253199	77	135.253199	66
98.1	135.725936	111	135.725936	84	135.725936	71	135.725936	76	135.725936	47
98.2	136.200633	91	136.200633	74	136.200633	64	136.200633	80	136.200633	70
98.3	136.677301	85	136.677301	74	136.677301	75	136.677301	59	136.677301	50
98.4	137.15595	99	137.15595	89	137.15595	62	137.15595	65	137.15595	53
98.5	137.636589	116	137.636589	76	137.636589	62	137.636589	75	137.636589	42
98.6	138.119229	93	138.119229	83	138.119229	50	138.119229	53	138.119229	60
98.7	138.60388	98	138.60388	72	138.60388	65	138.60388	65	138.60388	55
98.8	139.090553	86	139.090553	85	139.090553	61	139.090553	65	139.090553	65
98.9	139.579258	80	139.579258	73	139.579258	59	139.579258	62	139.579258	55
99	140.069148	90	140.069148	67	140.069148	53	140.069148	65	140.069148	62
99.1	140.561988	102	140.561988	53	140.561988	62	140.561988	56	140.561988	56
99.2	141.056889	89	141.056889	65	141.056889	69	141.056889	70	141.056889	45
99.3	141.553863	78	141.553863	53	141.553863	51	141.553863	49	141.553863	57
99.4	142.052921	98	142.052921	74	142.052921	59	142.052921	57	142.052921	54
99.5	142.554073	85	142.554073	71	142.554073	53	142.554073	56	142.554073	42
99.6	143.057331	76	143.057331	67	143.057331	58	143.057331	51	143.057331	40
99.7	143.562706	78	143.562706	73	143.562706	48	143.562706	61	143.562706	43
99.8	144.070208	79	144.070208	78	144.070208	53	144.070208	44	144.070208	49
99.9	144.580744	75	144.580744	52	144.580744	47	144.580744	49	144.580744	41
100	145.092495	85	145.092495	64	145.092495	51	145.092495	48	145.092495	29
100.1	145.606408	72	145.606408	57	145.606408	47	145.606408	41	145.606408	48
100.2	146.122496	81	146.122496	63	146.122496	46	146.122496	38	146.122496	41
100.3	146.64077	69	146.64077	64	146.64077	51	146.64077	47	146.64077	34
100.4	147.161241	72	147.161241	43	147.161241	57	147.161241	35	147.161241	39
100.5	147.683921	71	147.683921	58	147.683921	45	147.683921	50	147.683921	37
100.6	148.20882	73	148.20882	63	148.20882	48	148.20882	38	148.20882	35
100.7	148.735952	57	148.735952	51	148.735952	48	148.735952	52	148.735952	34
100.8	149.265328	63	149.265328	69	149.265328	47	149.265328	56	149.265328	38
100.9	149.796052	67	149.796052	46	149.796052	38	149.796052	47	149.796052	34
101	150.329991	61	150.329991	52	150.329991	38	150.329991	43	150.329991	39
101.1	150.866208	66	150.866208	52	150.866208	28	150.866208	40	150.866208	34
101.2	151.404715	60	151.404715	48	151.404715	43	151.404715	49	151.404715	43
101.3	151.945524	60	151.945524	48	151.945524	31	151.945524	37	151.945524	27
101.4	152.488647	57	152.488647	58	152.488647	39	152.488647	28	152.488647	34
101.5	153.034097	58	153.034097	45	153.034097	47	153.034097	54	153.034097	23
101.6	153.581886	66	153.581886	39	153.581886	35	153.581886	29	153.581886	30
101.7	154.132026	59	154.132026	49	154.132026	43	154.132026	31	154.132026	23
101.8	154.68453	63	154.68453	48	154.68453	31	154.68453	34	154.68453	23
101.9	155.240347	60	155.240347	46	155.240347	36	155.240347	40	155.240347	31
102	155.797575	43	155.797575	47	155.797575	29	155.797575	38	155.797575	25
102.1	156.357207	49	156.357207	41	156.357207	27	156.357207	29	156.357207	18
102.2	156.919255	38	156.919255	48	156.919255	38	156.919255	33	156.919255	19
102.3	157.483734	45	157.483734	42	157.483734	33	157.483734	23	157.483734	26
102.4	158.050655	74	158.050655	36	158.050655	33	158.050655	36	158.050655	16
102.5	158.620032	38	158.620032	32	158.620032	24	158.620032	32	158.620032	27
102.6	159.191877	48	159.191877	28	159.191877	31	159.191877	34	159.191877	24
102.7	159.766205	46	159.766205	43	159.766205	28	159.766205	23	159.766205	24
102.8	160.343029	43	160.343029	52	160.343029	32	160.343029	31	160.343029	29
102.9	160.922361	48	160.922361	36	160.922361	23	160.922361	25	160.922361	22
103	161.503277	38	161.503277	31	161.503277	27	161.503277	25	161.503277	31
103.1	162.08771	51	162.08771	28	162.08771	26	162.08771	23	162.08771	25
103.2	162.674691	48	162.674691	34	162.674691	30	162.674691	15	162.674691	23
103.3	163.264234	43	163.264234	32	163.264234	23	163.264234	24	163.264234	18
103.4	163.856352	36	163.856352	36	163.856352	23	163.856352	33	163.856352	22
103.5	164.451059	42	164.451059	34	164.451059	23	164.451059	18	164.451059	24
103.6	165.048371	40	165.048371	35	165.048371	23	165.048371	24	165.048371	15
103.7	165.6483	43	165.6483	33	165.6483	19	165.6483	15	165.6483	27
103.8	166.25086	42	166.25086	33	166.25086	19	166.25086	28	166.25086	24
103.9	166.856068	34	166.856068	32	166.856068	23	166.856068	23	166.856068	13
104	167.463936	53	167.463936	24	167.463936	18	167.463936	17	167.463936	16
104.1	168.075439	30	168.075439	26	168.075439	13	168.075439	15	168.075439	21
104.2	168.688629	34	168.688629	18	168.688629	20	168.688629	19	168.688629	14
104.3	169.304524	33	169.304524	28	169.304524	20	169.304524	20	169.304524	13
104.4	169.923141	33	169.923141	29	169.923141	12	169.923141	16	169.923141	18
104.5	170.544494	28	170.544494	28	170.544494	16	170.544494	25	170.544494	19
104.6	171.168598	28	171.168598	26	171.168598	23	171.168598	16	171.168598	21
104.7	171.795468	35	171.795468	28	171.795468	15	171.795468	22	171.795468	15
104.8	172.425119	28	172.425119	24	172.425119	16	172.425119	24	172.425119	20
104.9	173.057566	30	173.057566	22	173.057566	17	173.057566	15	173.057566	17
105	173.692825	32	173.692825	12	173.692825	17	173.692825	13	173.692825	18
105.1	174.330911	27	174.330911	26	174.330911	13	174.330911	14	174.330911	16
105.2	174.971839	28	174.971839	13	174.971839	14	174.971839	17	174.971839	15
105.3	175.614666	25	175.614666	19	175.614666	15	175.614666	14	175.614666	14
105.4	176.26137	28	176.26137	17	176.26137	16	176.26137	13	176.26137	9
105.5	176.910962	25	176.910962	20	176.910962	14	176.910962	18	176.910962	8
105.6	177.563457	28	177.563457	16	177.563457	11	177.563457	13	177.563457	14
105.7	178.218872	30	178.218872	27	178.218872	13	178.218872	15	178.218872	13
105.8	178.877223	23	178.877223	18	178.877223	11	178.877223	16	178.877223	13
105.9	179.538527	32	179.538527	18	179.538527	12	179.538527	12	179.538527	15
106	180.202799	22	180.202799	18	180.202799	13	180.202799	20	180.202799	11
106.1	180.870056	16	180.870056	14	180.870056	14	180.870056	13	180.870056	13
106.2	181.540314	25	181.540314	14	181.540314	18	181.540314	11	181.540314	11
106.3	182.213591	14	182.213591	15	182.213591	12	182.213591	8	182.213591	14
106.4	182.889904	25	182.889904	14	182.889904	8	182.889904	13	182.889904	8
106.5	183.570248	23	183.570248	14	183.570248	9	183.570248	15	183.570248	5
106.6	184.252636	10	184.252636	18	184.252636	13	184.252636	12	184.252636	8
106.7	184.938112	13	184.938112	11	184.938112	11	184.938112	10	184.938112	8
106.8	185.626694	19	185.626694	12	185.626694	7	185.626694	8	185.626694	6
106.9	186.318398	19	186.318398	11	186.318398	8	186.318398	12	186.318398	7
107	187.013241	22	187.013241	12	187.013241	14	187.013241	11	187.013241	6
107.1	187.711243	19	187.711243	12	187.711243	6	187.711243	13	187.711243	8
107.2	188.412419	18	188.412419	7	188.412419	6	188.412419	9	188.412419	10
107.3	189.116787	15	189.116787	20	189.116787	13	189.116787	7	189.116787	6
107.4	189.824367	21	189.824367	15	189.824367	13	189.824367	9	189.824367	3
107.5	190.535174	23	190.535174	16	190.535174	7	190.535174	10	190.535174	7
107.6	191.249228	10	191.249228	15	191.249228	9	191.249228	11	191.249228	12
107.7	191.966547	21	191.966547	12	191.966547	7	191.966547	12	191.966547	4
107.8	192.686168	19	192.686168	12	192.686168	9	192.686168	12	192.686168	6
107.9	193.410116	16	193.410116	10	193.410116	8	193.410116	8	193.410116	6
108	194.137382	18	194.137382	10	194.137382	5	194.137382	5	194.137382	6
108.1	194.867984	13	194.867984	13	194.867984	11	194.867984	8	194.867984	7
108.2	195.601942	16	195.601942	11	195.601942	4	195.601942	2	195.601942	7
108.3	196.339275	9	196.339275	13	196.339275	5	196.339275	3	196.339275	7
108.4	197.08	13	197.08	9	197.08	5	197.08	4	197.08	6
108.5	197.824139	13	197.824139	10	197.824139	6	197.824139	12	197.824139	8
108.6	198.571709	8	198.571709	14	198.571709	4	198.571709	8	198.571709	3
108.7	199.322731	14	199.322731	10	199.322731	2	199.322731	9	199.322731	7
108.8	200.077223	15	200.077223	8	200.077223	1	200.077223	4	200.077223	4
108.9	200.835207	15	200.835207	4	200.835207	3	200.835207	6	200.835207	11
109	201.5967	10	201.5967	8	201.5967	10	201.5967	3	201.5967	5
109.1	202.362733	10	202.362733	11	202.362733	6	202.362733	9	202.362733	2
109.2	203.13126	13	203.13126	10	203.13126	4	203.13126	6	203.13126	2
109.3	203.903359	9	203.903359	8	203.903359	2	203.903359	4	203.903359	6
109.4	204.679052	10	204.679052	8	204.679052	5	204.679052	5	204.679052	5
109.5	205.458357	8	205.458357	4	205.458357	5	205.458357	3	205.458357	3
109.6	206.241296	9	206.241296	11	206.241296	5	206.241296	4	206.241296	6
109.7	207.027889	10	207.027889	7	207.027889	5	207.027889	5	207.027889	3
109.8	207.818156	6	207.818156	7	207.818156	3	207.818156	4	207.818156	3
109.9	208.61212	8	208.61212	8	208.61212	3	208.61212	4	208.61212	7
110	209.4098	11	209.4098	5	209.4098	2	209.4098	7	209.4098	2
110.1	210.211218	12	210.211218	8	210.211218	3	210.211218	5	210.211218	4
110.2	211.016395	12	211.016395	2	211.016395	3	211.016395	5	211.016395	3
110.3	211.825353	7	211.825353	10	211.825353	6	211.825353	1	211.825353	6
110.4	212.638113	3	212.638113	4	212.638113	2	212.638113	5	212.638113	3
110.5	213.453676	8	213.453676	4	213.453676	3	213.453676	4	213.453676	3
110.6	214.274153	4	214.274153	4	214.274153	2	214.274153	3	214.274153	5
110.7	215.098496	8	215.098496	7	215.098496	5	215.098496	7	215.098496	2
110.8	215.926726	8	215.926726	2	215.926726	6	215.926726	5	215.926726	2
110.9	216.758866	7	216.758866	8	216.758866	2	216.758866	0	216.758866	4
111	217.594938	10	217.594938	8	217.594938	3	217.594938	3	217.594938	1
111.1	218.434966	8	218.434966	3	218.434966	3	218.434966	2	218.434966	3
111.2	219.278971	8	219.278971	2	219.278971	2	219.278971	3	219.278971	2
111.3	220.126977	8	220.126977	4	220.126977	0	220.126977	3	220.126977	4
111.4	220.979007	7	220.979007	2	220.979007	3	220.979007	3	220.979007	3
111.5	221.835083	8	221.835083	2	221.835083	6	221.835083	3	221.835083	3
111.6	222.69523	10	222.69523	6	222.69523	1	222.69523	3	222.69523	1
111.7	223.55947	6	223.55947	5	223.55947	3	223.55947	5	223.55947	2
111.8	224.427828	4	224.427828	6	224.427828	3	224.427828	2	224.427828	3
111.9	225.30139	3	225.30139	5	225.30139	2	225.30139	2	225.30139	3
112	226.178003	7	226.178003	2	226.178003	4	226.178003	2	226.178003	3
112.1	227.058807	6	227.058807	3	227.058807	3	227.058807	3	227.058807	2
112.2	227.943826	5	227.943826	3	227.943826	4	227.943826	3	227.943826	2
112.3	228.833085	3	228.833085	3	228.833085	4	228.833085	0	228.833085	3
112.4	229.726607	3	229.726607	6	229.726607	2	229.726607	2	229.726607	3
112.5	230.624418	3	230.624418	3	230.624418	1	230.624418	3	230.624418	4
112.6	231.526542	4	231.526542	3	231.526542	1	231.526542	3	231.526542	3
112.7	232.433003	7	232.433003	3	232.433003	2	232.433003	3	232.433003	1
112.8	233.343828	3	233.343828	5	233.343828	3	233.343828	4	233.343828	3
112.9	234.259041	4	234.259041	2	234.259041	2	234.259041	4	234.259041	0
113	235.178667	4	235.178667	1	235.178667	3	235.178667	2	235.178667	2
113.1	236.102732	6	236.102732	3	236.102732	2	236.102732	3	236.102732	1
113.2	237.031262	3	237.031262	2	237.031262	1	237.031262	2	237.031262	4
113.3	237.964283	2	237.964283	3	237.964283	0	237.964283	0	237.964283	1
113.4	238.900727	2	238.900727	3	238.900727	3	238.900727	2	238.900727	3
113.5	239.842859	1	239.842859	2	239.842859	0	239.842859	1	239.842859	2
113.6	240.789558	3	240.789558	3	240.789558	3	240.789558	2	240.789558	2
113.7	241.740849	3	241.740849	7	241.740849	3	241.740849	2	241.740849	4
113.8	242.696761	3	242.696761	3	242.696761	2	242.696761	1	242.696761	3
113.9	243.65732	3	243.65732	2	243.65732	1	243.65732	3	243.65732	3
114	244.622552	1	244.622552	4	244.622552	3	244.622552	1	244.622552	2
114.1	245.592486	5	245.592486	2	245.592486	3	245.592486	1	245.592486	0
114.2	246.567149	3	246.567149	2	246.567149	2	246.567149	1	246.567149	0
114.3	247.546567	4	247.546567	3	247.546567	1	247.546567	3	247.546567	2
114.4	248.53077	4	248.53077	1	248.53077	2	248.53077	3	248.53077	1
114.5	249.519784	3	249.519784	2	249.519784	1	249.519784	0	249.519784	3
114.6	250.513638	3	250.513638	1	250.513638	4	250.513638	2	250.513638	1
114.7	251.51236	3	251.51236	2	251.51236	1	251.51236	2	251.51236	3
114.8	252.515979	4	252.515979	1	252.515979	3	252.515979	3	252.515979	0
114.9	253.524522	6	253.524522	1	253.524522	1	253.524522	2	253.524522	3
115	254.53912	2	254.53912	4	254.53912	3	254.53912	3	254.53912	0
115.1	255.557546	3	255.557546	1	255.557546	2	255.557546	1	255.557546	1
115.2	256.580987	1	256.580987	2	256.580987	1	256.580987	0	256.580987	1
115.3	257.609471	3	257.609471	2	257.609471	0	257.609471	2	257.609471	0
115.4	258.643027	3	258.643027	2	258.643027	2	258.643027	1	258.643027	3
115.5	259.681686	2	259.681686	3	259.681686	2	259.681686	2	259.681686	0
115.6	260.725478	3	260.725478	2	260.725478	1	260.725478	2	260.725478	3
115.7	261.774431	4	261.774431	2	261.774431	0	261.774431	0	261.774431	1
115.8	262.828576	3	262.828576	3	262.828576	2	262.828576	1	262.828576	0
115.9	263.887943	1	263.887943	2	263.887943	2	263.887943	1	263.887943	2
116	264.952564	3	264.952564	1	264.952564	1	264.952564	2	264.952564	3
116.1	266.022468	1	266.022468	3	266.022468	1	266.022468	0	266.022468	2
116.2	267.097686	1	267.097686	2	267.097686	1	267.097686	1	267.097686	3
116.3	268.17825	0	268.17825	1	268.17825	1	268.17825	0	268.17825	0
116.4	269.26419	2	269.26419	2	269.26419	0	269.26419	0	269.26419	0
116.5	270.355539	3	270.355539	1	270.355539	0	270.355539	2	270.355539	1
116.6	271.451192	2	271.451192	2	271.451192	1	271.451192	2	271.451192	0
116.7	272.55351	3	272.55351	1	272.55351	2	272.55351	1	272.55351	3
116.8	273.661328	1	273.661328	0	273.661328	0	273.661328	0	273.661328	1
116.9	274.77468	3	274.77468	0	274.77468	1	274.77468	0	274.77468	0
117	275.893597	1	275.893597	2	275.893597	1	275.893597	0	275.893597	0
117.1	277.018113	2	277.018113	1	277.018113	2	277.018113	0	277.018113	0
117.2	278.148261	2	278.148261	1	278.148261	3	278.148261	0	278.148261	2
117.3	279.284072	2	279.284072	3	279.284072	2	279.284072	0	279.284072	1
117.4	280.425582	3	280.425582	2	280.425582	2	280.425582	0	280.425582	1
117.5	281.572822	2	281.572822	0	281.572822	0	281.572822	1	281.572822	0
117.6	282.725827	3	282.725827	1	282.725827	1	282.725827	1	282.725827	1
117.7	283.884631	1	283.884631	1	283.884631	0	283.884631	1	283.884631	1
117.8	285.049268	0	285.049268	3	285.049268	0	285.049268	1	285.049268	0
117.9	286.219772	0	286.219772	3	286.219772	0	286.219772	1	286.219772	1
118	287.396177	3	287.396177	1	287.396177	2	287.396177	2	287.396177	1
118.1	288.578519	0	288.578519	0	288.578519	1	288.578519	2	288.578519	0
118.2	289.766831	0	289.766831	0	289.766831	0	289.766831	1	289.766831	1
118.3	290.962262	3	290.962262	1	290.962262	0	290.962262	0	290.962262	2
118.4	292.16256	1	292.16256	3	292.16256	1	292.16256	0	292.16256	0
118.5	293.368939	3	293.368939	3	293.368939	1	293.368939	2	293.368939	1
118.6	294.581433	0	294.581433	0	294.581433	1	294.581433	1	294.581433	0
118.7	295.800078	0	295.800078	1	295.800078	0	295.800078	0	295.800078	3
118.8	297.024911	0	297.024911	0	297.024911	0	297.024911	0	297.024911	3
118.9	298.255967	2	298.255967	1	298.255967	1	298.255967	0	298.255967	2
119	299.493283	1	299.493283	1	299.493283	0	299.493283	2	299.493283	2
119.1	300.736895	0	300.736895	0	300.736895	3	300.736895	1	300.736895	1
119.2	301.986841	0	301.986841	0	301.986841	0	301.986841	2	301.986841	1
119.3	303.243158	1	303.243158	1	303.243158	0	303.243158	0	303.243158	0
119.4	304.505883	2	304.505883	2	304.505883	0	304.505883	2	304.505883	1
119.5	305.775054	1	305.775054	0	305.775054	2	305.775054	3	305.775054	1
119.6	307.050708	3	307.050708	1	307.050708	2	307.050708	2	307.050708	1
119.7	308.332883	3	308.332883	2	308.332883	1	308.332883	2	308.332883	0
119.8	309.620455	1	309.620455	2	309.620455	1	309.620455	1	309.620455	1
119.9	310.915862	3	310.915862	0	310.915862	1	310.915862	1	310.915862	0
120	312.217903	1	312.217903	1	312.217903	2	312.217903	2	312.217903	0
120.1	313.526617	0	313.526617	1	313.526617	1	313.526617	2	313.526617	3
120.2	314.842042	0	314.842042	1	314.842042	1	314.842042	0	314.842042	0
120.3	316.164219	2	316.164219	1	316.164219	1	316.164219	1	316.164219	0
120.4	317.493186	1	317.493186	3	317.493186	0	317.493186	0	317.493186	1
120.5	318.828985	1	318.828985	2	318.828985	0	318.828985	1	318.828985	2
120.6	320.171655	2	320.171655	0	320.171655	2	320.171655	1	320.171655	0
120.7	321.521236	1	321.521236	0	321.521236	1	321.521236	2	321.521236	2
120.8	322.87777	0	322.87777	0	322.87777	0	322.87777	0	322.87777	1
120.9	324.241297	1	324.241297	1	324.241297	0	324.241297	0	324.241297	0
121	325.611858	0	325.611858	0	325.611858	2	325.611858	1	325.611858	1
121.1	326.989496	0	326.989496	2	326.989496	1	326.989496	0	326.989496	1
121.2	328.375352	0	328.375352	2	328.375352	1	328.375352	3	328.375352	0
121.3	329.767168	0	329.767168	0	329.767168	0	329.767168	3	329.767168	1
121.4	331.16619	1	331.16619	0	331.16619	2	331.16619	1	331.16619	1
121.5	332.572461	0	332.572461	0	332.572461	1	332.572461	1	332.572461	1
121.6	333.986022	1	333.986022	0	333.986022	0	333.986022	0	333.986022	2
121.7	335.406916	1	335.406916	0	335.406916	0	335.406916	0	335.406916	1
121.8	336.835186	1	336.835186	2	336.835186	0	336.835186	0	336.835186	0
121.9	338.270876	4	338.270876	0	338.270876	2	338.270876	0	338.270876	1
122	339.714029	1	339.714029	0	339.714029	0	339.714029	1	339.714029	0
122.1	341.163594	1	341.163594	0	341.163594	1	341.163594	0	341.163594	0
122.2	342.621975	0	342.621975	1	342.621975	0	342.621975	1	342.621975	2
122.3	344.087941	2	344.087941	0	344.087941	0	344.087941	1	344.087941	1
122.4	345.561539	0	345.561539	1	345.561539	0	345.561539	2	345.561539	1
122.5	347.042812	0	347.042812	1	347.042812	0	347.042812	0	347.042812	0
122.6	348.532733	0	348.532733	1	348.532733	0	348.532733	2	348.532733	2
122.7	350.029108	2	350.029108	1	350.029108	0	350.029108	0	350.029108	0
122.8	351.532802	2	351.532802	3	351.532802	1	351.532802	1	351.532802	0
122.9	353.045919	0	353.045919	1	353.045919	1	353.045919	0	353.045919	1
123	354.565394	1	354.565394	1	354.565394	1	354.565394	3	354.565394	0
123.1	356.093362	2	356.093362	1	356.093362	0	356.093362	0	356.093362	0
123.2	357.629343	0	357.629343	0	357.629343	1	357.629343	1	357.629343	1
123.3	359.174805	1	359.174805	0	359.174805	1	359.174805	0	359.174805	3
123.4	360.727226	1	360.727226	1	360.727226	2	360.727226	1	360.727226	0
123.5	362.287786	0	362.287786	1	362.287786	0	362.287786	0	362.287786	0
