Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\mixing tube.S80																																																																			
Classifier Model	3080																																																																			
DMA Model	3081																																																																			
DMA Inner Radius(cm)	0.00937																																																																			
DMA Outer Radius(cm)	0.01961																																																																			
DMA Characteristic Length(cm)	0.44369																																																																			
CPC Model	3776 Low Flow																																																																			
Reference Gas Viscosity (Pa*s)	1.83E-05																																																																			
Reference Mean Free Path (m)	6.73E-08																																																																			
Reference Gas Temperature (K)	296.15																																																																			
Reference Gas Pressure (kPa)	101.3																																																																			
Channels/Decade	64																																																																			
Multiple Charge Correction	FALSE																																																																			
Nanoparticle Aggregate Mobility Analysis	FALSE																																																																			
Diffusion Correction	FALSE																																																																			
Units	dw/dlogDp																																																																			
Weight	Number																																																																			
Sample #	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		24		25		26		27		28		29		30		31		32		33		34	
Date	10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	18:22:01		18:24:20		18:26:35		18:28:50		18:31:05		18:33:20		18:35:35		18:37:50		18:40:05		18:42:20		18:44:35		18:46:50		18:49:05		18:51:20		18:53:35		18:55:50		18:58:05		19:00:20		19:02:35		19:04:50		19:07:05		19:09:20		19:11:35		19:13:50		19:16:05		19:18:20		19:20:35		19:22:50		19:25:05		19:27:20		19:29:35		19:31:50		19:34:05		19:36:20	
Diameter Midpoint																																																																				
27.9	4097.44		400.824		18925.2		35937.3		37205.9		51602.5		65835.5		92353.2		83560.9		87452.3		77891.4		80059.1		89449.2		85417.9		67809.2		67843.2		57147.8		68578.7		63992.2		59055.4		59246.6		55669.5		75025.9		72836.1		69845.5		77088		68584.2		78172.7		68154.8		67320.1		73851		71271.3		62599.4		58937.7	
28.9	4988.17		0		20321.6		34696.6		45438.9		51090.1		70173.3		82220.5		77001.8		83892.3		86052.5		74697		87437.5		86943.2		87488.9		75301.6		69658.3		80047.1		59187.4		72435.5		60299.9		66909.3		79421.2		81808.4		84232.3		75529.2		87703.3		76140.9		83170.4		76252.3		77018		65849.1		68404.6		68206.5	
30	5414.48		755.195		20553.8		33349.9		38202.2		72542.4		72150.5		86934.1		102723		97173		89811.6		91202.3		91992.1		89100.2		84262.3		84247.9		73789		71851.3		77964.5		79438.7		70476.6		72185.9		82565.6		88166.4		72969.8		103135		83513.8		92078.8		92142.9		71053.1		79119.2		75049.9		76468.4		56711.2	
31.1	3997.41		0		23163.9		34050.4		48829.9		59369		69713.6		89143.8		111105		93113.5		96241.9		91779.3		89846.3		93739.4		97966.2		85591.9		89672.5		91215.8		74239.2		85084.3		76018.9		83611		101310		98619.4		99314.5		104960		90388.2		89032.9		99057.4		81678.6		86627.2		72793.2		81893.3		83520.3	
32.2	5035.92		0		21942.4		40151.3		54003.3		71581.9		77452.5		90015.2		100154		104315		100067		108944		104769		105374		106181		98804.6		91949.6		84014.8		83608.8		89608.6		80214.9		85067.7		94223		103893		97595.6		114075		99488.3		112656		98064		95973.3		100765		88284.7		89702.4		83858.6	
33.4	3479.93		348.715		18635.7		39854.6		61841		72134.2		81577		94839.7		110306		109592		112078		109037		95727.1		113081		110855		101531		88855.2		104381		85165.1		100001		89906.4		92883.8		100795		114779		112847		122965		110688		123150		113220		98730.5		101103		99031.5		106185		83567.5	
34.6	3735.52		340.887		19345.1		44384.9		57239.3		80052.4		82111.9		103174		116757		105729		113360		120700		109741		110717		102025		109951		109153		105733		108456		94081.9		105290		95733.4		109753		115913		116016		134271		110645		126783		124793		119055		106168		112735		106826		88815.6	
35.9	6267.66		661.972		20353.5		39157.9		64432.1		79097.5		86254.7		106444		128097		125372		118646		121294		128617		124023		121336		109730		109070		117987		113477		100879		111471		104168		134306		123570		133375		133850		125350		130662		116391		120489		112586		111364		116206		93369.7	
37.2	6782.22		0		17688.1		44401.2		66229.8		86842.1		99606.4		118390		133579		135020		136026		119621		127418		136466		139504		134964		112529		123234		118395		111937		119041		125784		133505		139089		139987		137409		118809		147556		138364		137018		133245		123678		117538		98248	
38.5	5354.42		629.932		23875.3		38878.3		67147.1		88964.6		104678		112655		134897		135363		124243		131383		130335		146609		126297		131391		131104		121377		112529		119585		122015		125918		146966		165595		153877		163536		132186		146717		142768		132141		130903		120798		130363		98378.2	
40	5779.69		617.12		22832.9		38772.1		71372.6		89554.2		101155		116767		139807		146103		144021		134023		131264		141760		144039		131946		131062		152495		130624		122583		129472		140272		147567		166153		154673		162511		139973		162340		160738		144343		138789		134700		155801		126968	
41.4	5101.78		300.418		24565.5		41158.6		77151.3		96948.7		108033		125253		143585		152919		136146		146660		149558		142506		148704		146255		130625		150737		134676		126934		139039		143593		160352		173357		170725		170662		147925		161057		147543		166967		149608		150045		147064		132056	
42.9	4729.77		113.322		22874.4		42825.6		81391.7		102358		116551		132750		143472		144290		148467		150551		155210		163032		159412		154223		133203		142634		129083		134375		138344		136836		164466		173613		188748		182216		162364		177980		176785		159700		150639		154245		162176		132990	
44.5	8589.7		463.833		24392.4		43447.1		81430.8		99564.4		104509		125494		159615		148929		154588		160309		144111		168089		160903		155617		148801		157701		145851		155214		141961		144808		174747		181222		177801		180868		162398		172082		174116		192697		151314		168902		166403		135119	
46.1	6228.56		825.263		21732.1		51076.7		72198.3		115202		114205		132684		159573		165091		171826		160574		159434		169080		157533		171510		158088		153538		159491		145561		141445		173891		184222		195827		201153		185652		165058		204827		174705		201479		178235		180733		179786		161656	
47.8	6375.59		844.655		28527.3		52078		81091.4		100927		118118		140669		155114		159735		165536		162163		172771		178909		163715		169119		158403		161986		162328		146171		165960		172565		185637		207474		200627		177009		175328		198350		193283		213615		172639		187188		179038		154576	
49.6	12274.7		1176.01		26917.7		50007		84379.9		117480		122738		139842		156379		175964		156975		173075		180388		181604		173283		181342		174051		169440		166824		173284		173873		179157		198228		214345		218801		197943		187792		204609		201638		208466		193817		198958		195449		159375	
51.4	8932.71		171.374		21917.8		49904.5		87205.1		112452		118044		147012		162280		174894		170698		177194		189793		190278		186543		184923		178690		188487		169802		175885		175243		190040		206703		239510		224992		206623		189539		214260		217879		229582		206326		202920		200402		175287	
53.3	7621.56		521.562		26972.8		53264.5		95353.2		110707		133449		137723		163386		179156		172956		188086		183451		189827		182822		187868		188130		188049		183792		190140		204810		186735		224846		247173		232905		219509		216662		241086		222664		215112		211722		222023		204513		176654	
55.2	8062.47		256.361		26004.4		56695.6		81955.3		106785		136555		161898		179338		190207		175264		179262		193546		204945		187958		194680		195509		198439		188592		182331		197565		190933		215456		249406		245851		221547		219316		236419		241224		245373		220334		239081		237141		191781	
57.3	8997.21		756.259		25086.8		55750.4		89017.3		111643		134588		150745		171391		200053		172410		182583		206615		191619		197727		208387		202697		221709		198204		198621		214496		206259		225661		237462		259972		240231		226627		260581		239505		250953		244089		239873		241578		196474	
59.4	9644.3		1487.7		28327.2		57169.8		87077.8		108916		141296		157292		167000		193964		173263		197234		195697		212475		193964		209638		209317		219237		201768		212777		204402		214268		238433		272354		265832		252749		231181		251689		253171		267468		248582		248188		229716		215875	
61.5	7925.67		1463.68		25789.8		54513.8		91055.8		114976		139539		154208		168417		187985		175954		185818		208592		218475		210993		217736		219775		224063		210631		212676		208381		226029		256196		261306		275813		228299		256091		263347		249176		261692		261491		263662		242939		213923	
63.8	7513.54		1268.14		24573		62584.2		83574.3		110669		131423		165093		177823		202477		183197		187006		200602		214158		202992		220209		206331		212122		211488		217865		233486		232280		266227		260469		271224		242251		260154		283057		259056		263492		267775		265294		251295		240516	
66.1	8494.7		878.499		23376.3		64753.9		92018.8		116600		141273		169011		174918		191737		191054		198197		209146		212509		217096		218658		211709		215877		229705		225754		235517		223185		259721		273772		277515		256187		266750		268754		267525		291544		264131		259455		266066		238114	
68.5	10533.9		1899.19		28506.3		62780.7		86724.5		120911		132790		161375		185583		188376		177930		194055		195563		216123		218867		217627		219672		222051		210253		217532		244002		242044		255594		297007		294814		255063		263401		268186		276478		288189		281535		268774		271275		252050	
71	8298.56		1442.64		30494.3		65691.9		96499.6		113235		141465		158633		168153		188770		183324		194265		205731		212692		202924		228875		222222		229020		222389		221903		236083		237499		263784		281732		296717		262154		275443		281269		298541		284903		286072		279951		252733		259054	
73.7	8474.07		2951.3		26877.9		65098.7		91169.2		118508		129585		152516		175532		181608		184802		202533		199942		212435		215278		221953		229863		220946		227372		232307		236182		238111		262669		293672		285698		275929		285549		284416		273026		293778		295571		286558		273221		270468	
76.4	11096.9		2362.62		26317.3		59424.2		86282		113044		130610		161483		170315		187768		172810		186294		212535		217112		216698		219530		232813		235606		221517		234091		246930		253976		283233		282818		287464		272315		285041		276949		286039		308573		293308		276648		277982		269132	
79.1	10263.5		2278.48		23723.6		58598.7		89883.5		110496		138633		149554		172249		191843		176077		195353		197614		216021		225190		221940		223660		230656		225974		238991		232431		261372		278916		279357		289791		271643		286340		289190		291498		307391		292909		301840		262045		295362	
82	8730.91		2483.71		24982.8		56531.8		81461.9		110292		133081		145158		174004		171282		175895		196642		199346		193886		207152		214202		220241		222910		230323		234413		232074		241116		268153		281655		304122		280479		285838		284620		284943		289939		284878		282261		278786		281621	
85.1	7894.78		3155.43		29691.7		54332.7		82790.8		102236		118035		139053		165989		180047		160573		189679		195544		195498		210182		219632		214023		230446		227302		222025		227754		255079		277240		273498		284713		261807		284372		301137		278417		303651		283371		277328		286383		289855	
88.2	9627.88		2849.86		24278.3		59678.5		73749.6		99117.8		114572		137694		161049		155283		152733		196572		205287		195197		205979		208305		218296		214875		226815		232982		234603		234764		273867		280815		290105		274223		270271		282115		279142		305297		297934		277067		264126		293466	
91.4	9619.52		2726.95		25558.2		54289.2		72961.5		99094.8		111597		127300		155753		169331		164001		179657		189651		190922		191416		215889		216093		210260		208420		220572		232190		247789		253993		266966		271999		262284		286838		260802		257182		292379		277761		281360		269252		273535	
94.7	9321.39		2619.76		20916.8		49020.2		67636.5		89523.9		114763		123123		138802		153622		162306		175930		171794		195086		176672		202628		211071		213220		223004		222387		221582		238560		251931		269408		282246		272429		277599		272836		274190		291783		278982		258308		288798		286315	
98.2	8627.43		2511.25		20125.2		50924.8		65467.9		93633.2		106500		120535		138864		147916		148719		167341		160727		176501		189111		180794		186013		204097		205433		203508		219043		215430		237668		266352		262896		238581		276011		261632		271841		285979		270598		272604		265238		274388	
