Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\sucrose only pre mixing.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	18:10:45		18:13:03		18:15:18		18:17:33	
Diameter Midpoint								
12.5	9.827131	2	9.827131	2	9.827131	3	9.827131	3
12.6	9.85585	3	9.85585	1	9.85585	0	9.85585	3
12.7	9.884558	3	9.884558	2	9.884558	3	9.884558	1
12.8	9.913253	3	9.913253	3	9.913253	1	9.913253	2
12.9	9.942129	3	9.942129	1	9.942129	2	9.942129	2
13	9.97109	2	9.97109	3	9.97109	1	9.97109	3
13.1	10.000235	2	10.000235	2	10.000235	3	10.000235	1
13.2	10.029368	1	10.029368	3	10.029368	2	10.029368	2
13.3	10.058489	1	10.058489	0	10.058489	0	10.058489	3
13.4	10.087794	0	10.087794	4	10.087794	3	10.087794	0
13.5	10.117185	2	10.117185	3	10.117185	3	10.117185	0
13.6	10.146762	2	10.146762	3	10.146762	3	10.146762	2
13.7	10.176328	2	10.176328	3	10.176328	5	10.176328	2
13.8	10.205881	2	10.205881	2	10.205881	1	10.205881	3
13.9	10.235621	3	10.235621	3	10.235621	2	10.235621	2
14	10.265548	3	10.265548	1	10.265548	1	10.265548	2
14.1	10.295465	0	10.295465	3	10.295465	4	10.295465	3
14.2	10.325369	2	10.325369	4	10.325369	1	10.325369	0
14.3	10.355461	3	10.355461	2	10.355461	1	10.355461	3
14.4	10.385744	3	10.385744	1	10.385744	2	10.385744	2
14.5	10.416015	3	10.416015	1	10.416015	2	10.416015	3
14.6	10.446376	2	10.446376	1	10.446376	4	10.446376	3
14.7	10.476724	2	10.476724	1	10.476724	3	10.476724	3
14.8	10.507263	4	10.507263	4	10.507263	2	10.507263	2
14.9	10.537996	0	10.537996	1	10.537996	3	10.537996	2
15	10.568718	3	10.568718	2	10.568718	3	10.568718	4
15.1	10.599425	3	10.599425	3	10.599425	3	10.599425	1
15.2	10.630327	2	10.630327	4	10.630327	2	10.630327	3
15.3	10.661425	2	10.661425	2	10.661425	3	10.661425	3
15.4	10.692511	4	10.692511	2	10.692511	6	10.692511	1
15.5	10.723584	3	10.723584	2	10.723584	1	10.723584	3
15.6	10.754852	3	10.754852	4	10.754852	2	10.754852	1
15.7	10.78632	3	10.78632	2	10.78632	7	10.78632	5
15.8	10.81767	4	10.81767	4	10.81767	2	10.81767	3
15.9	10.849217	2	10.849217	2	10.849217	4	10.849217	3
16	10.880963	3	10.880963	3	10.880963	3	10.880963	3
16.1	10.912698	0	10.912698	2	10.912698	3	10.912698	3
16.2	10.944421	4	10.944421	0	10.944421	1	10.944421	3
16.3	10.976342	0	10.976342	0	10.976342	2	10.976342	3
16.4	11.008466	4	11.008466	4	11.008466	1	11.008466	2
16.5	11.040579	3	11.040579	2	11.040579	5	11.040579	3
16.6	11.072677	4	11.072677	3	11.072677	3	11.072677	2
16.7	11.104978	2	11.104978	4	11.104978	6	11.104978	5
16.8	11.137485	4	11.137485	4	11.137485	3	11.137485	4
16.9	11.16987	1	11.16987	3	11.16987	3	11.16987	2
17	11.202459	4	11.202459	4	11.202459	0	11.202459	1
17.1	11.235254	4	11.235254	3	11.235254	3	11.235254	3
17.2	11.268037	9	11.268037	5	11.268037	4	11.268037	3
17.3	11.300807	6	11.300807	2	11.300807	3	11.300807	3
17.4	11.333893	4	11.333893	5	11.333893	3	11.333893	3
17.5	11.366969	4	11.366969	1	11.366969	3	11.366969	6
17.6	11.400032	3	11.400032	4	11.400032	2	11.400032	3
17.7	11.433301	0	11.433301	5	11.433301	3	11.433301	3
17.8	11.466783	3	11.466783	3	11.466783	3	11.466783	4
17.9	11.50014	5	11.50014	1	11.50014	4	11.50014	5
18	11.533706	6	11.533706	3	11.533706	3	11.533706	3
18.1	11.567486	5	11.567486	3	11.567486	3	11.567486	3
18.2	11.601253	5	11.601253	1	11.601253	3	11.601253	3
18.3	11.635006	4	11.635006	1	11.635006	3	11.635006	9
18.4	11.669086	4	11.669086	4	11.669086	5	11.669086	3
18.5	11.703155	1	11.703155	2	11.703155	5	11.703155	2
18.6	11.737209	3	11.737209	9	11.737209	3	11.737209	3
18.7	11.771593	3	11.771593	3	11.771593	10	11.771593	2
18.8	11.805966	4	11.805966	4	11.805966	5	11.805966	2
18.9	11.840324	6	11.840324	2	11.840324	6	11.840324	3
19	11.875014	4	11.875014	7	11.875014	3	11.875014	3
19.1	11.909694	4	11.909694	4	11.909694	5	11.909694	5
19.2	11.944358	1	11.944358	8	11.944358	5	11.944358	8
19.3	11.979358	6	11.979358	6	11.979358	3	11.979358	6
19.4	12.014347	8	12.014347	5	12.014347	10	12.014347	5
19.5	12.049321	6	12.049321	8	12.049321	3	12.049321	8
19.6	12.084633	8	12.084633	5	12.084633	7	12.084633	5
19.7	12.119934	9	12.119934	8	12.119934	3	12.119934	3
19.8	12.15522	4	12.15522	8	12.15522	4	12.15522	4
19.9	12.190848	7	12.190848	5	12.190848	6	12.190848	5
20	12.226464	6	12.226464	6	12.226464	3	12.226464	4
20.1	12.262065	4	12.262065	9	12.262065	4	12.262065	5
20.2	12.298011	9	12.298011	3	12.298011	4	12.298011	11
20.3	12.333826	11	12.333826	7	12.333826	4	12.333826	7
20.4	12.369864	7	12.369864	10	12.369864	5	12.369864	4
20.5	12.406132	7	12.406132	11	12.406132	9	12.406132	4
20.6	12.442266	11	12.442266	9	12.442266	4	12.442266	4
20.7	12.478627	12	12.478627	5	12.478627	5	12.478627	4
20.8	12.515219	9	12.515219	6	12.515219	5	12.515219	9
20.9	12.551675	9	12.551675	5	12.551675	7	12.551675	8
21	12.588483	5	12.588483	11	12.588483	5	12.588483	3
21.1	12.62528	8	12.62528	13	12.62528	3	12.62528	6
21.2	12.662062	11	12.662062	11	12.662062	9	12.662062	3
21.3	12.6992	12	12.6992	9	12.6992	5	12.6992	4
21.4	12.736202	5	12.736202	7	12.736202	7	12.736202	9
21.5	12.773436	6	12.773436	6	12.773436	9	12.773436	3
21.6	12.810906	8	12.810906	2	12.810906	6	12.810906	5
21.7	12.848239	8	12.848239	8	12.848239	8	12.848239	13
21.8	12.885931	10	12.885931	8	12.885931	8	12.885931	11
21.9	12.923612	7	12.923612	3	12.923612	7	12.923612	8
22	12.961278	9	12.961278	8	12.961278	11	12.961278	3
22.1	12.999308	9	12.999308	8	12.999308	10	12.999308	3
22.2	13.037199	9	13.037199	5	13.037199	10	13.037199	8
22.3	13.075454	11	13.075454	9	13.075454	8	13.075454	5
22.4	13.1137	7	13.1137	10	13.1137	13	13.1137	11
22.5	13.151929	6	13.151929	10	13.151929	14	13.151929	7
22.6	13.190528	9	13.190528	4	13.190528	12	13.190528	7
22.7	13.228987	9	13.228987	8	13.228987	11	13.228987	14
22.8	13.267814	8	13.267814	9	13.267814	11	13.267814	8
22.9	13.306632	10	13.306632	5	13.306632	12	13.306632	11
23	13.345433	12	13.345433	8	13.345433	7	13.345433	7
23.1	13.38461	17	13.38461	11	13.38461	10	13.38461	6
23.2	13.423645	11	13.423645	7	13.423645	8	13.423645	12
23.3	13.463053	15	13.463053	10	13.463053	7	13.463053	10
23.4	13.502453	15	13.502453	7	13.502453	11	13.502453	11
23.5	13.541835	12	13.541835	10	13.541835	16	13.541835	14
23.6	13.581599	12	13.581599	9	13.581599	13	13.581599	7
23.7	13.621218	16	13.621218	9	13.621218	14	13.621218	11
23.8	13.661217	10	13.661217	18	13.661217	8	13.661217	13
23.9	13.701074	11	13.701074	13	13.701074	8	13.701074	13
24	13.741179	6	13.741179	13	13.741179	16	13.741179	16
24.1	13.781539	10	13.781539	11	13.781539	8	13.781539	5
24.2	13.821751	10	13.821751	8	13.821751	15	13.821751	11
24.3	13.862351	9	13.862351	17	13.862351	14	13.862351	11
24.4	13.902805	15	13.902805	10	13.902805	19	13.902805	7
24.5	13.943646	11	13.943646	6	13.943646	11	13.943646	11
24.6	13.984342	21	13.984342	11	13.984342	18	13.984342	15
24.7	14.025291	19	14.025291	7	14.025291	14	14.025291	11
24.8	14.066501	9	14.066501	12	14.066501	9	14.066501	17
24.9	14.10756	17	14.10756	13	14.10756	14	14.10756	17
25	14.149015	9	14.149015	6	14.149015	13	14.149015	12
25.1	14.190321	11	14.190321	14	14.190321	19	14.190321	11
25.2	14.232022	18	14.232022	11	14.232022	14	14.232022	16
25.3	14.273576	14	14.273576	12	14.273576	11	14.273576	13
25.4	14.315526	15	14.315526	11	14.315526	12	14.315526	11
25.5	14.357467	12	14.357467	21	14.357467	11	14.357467	12
25.6	14.39939	18	14.39939	13	14.39939	14	14.39939	17
25.7	14.44172	11	14.44172	19	14.44172	18	14.44172	15
25.8	14.483895	12	14.483895	11	14.483895	15	14.483895	15
25.9	14.526477	18	14.526477	14	14.526477	12	14.526477	17
26	14.568906	17	14.568906	13	14.568906	12	14.568906	15
26.1	14.611742	17	14.611742	21	14.611742	11	14.611742	23
26.2	14.654425	17	14.654425	18	14.654425	18	14.654425	18
26.3	14.697516	19	14.697516	20	14.697516	17	14.697516	12
26.4	14.740456	20	14.740456	15	14.740456	12	14.740456	18
26.5	14.783804	11	14.783804	16	14.783804	24	14.783804	16
26.6	14.827144	9	14.827144	20	14.827144	9	14.827144	18
26.7	14.870465	25	14.870465	10	14.870465	19	14.870465	14
26.8	14.914208	18	14.914208	20	14.914208	18	14.914208	18
26.9	14.957789	18	14.957789	20	14.957789	18	14.957789	12
27	15.001793	22	15.001793	15	15.001793	12	15.001793	13
27.1	15.045636	18	15.045636	20	15.045636	13	15.045636	25
27.2	15.089903	23	15.089903	16	15.089903	20	15.089903	25
27.3	15.134009	25	15.134009	16	15.134009	14	15.134009	16
27.4	15.17854	15	15.17854	16	15.17854	20	15.17854	23
27.5	15.222912	17	15.222912	17	15.222912	18	15.222912	16
27.6	15.267709	24	15.267709	20	15.267709	18	15.267709	20
27.7	15.312347	15	15.312347	23	15.312347	20	15.312347	28
27.8	15.357413	22	15.357413	20	15.357413	21	15.357413	17
27.9	15.402319	19	15.402319	18	15.402319	18	15.402319	23
