3.55E-08	50945.3	14946	5717.92	2643.81	1315.75	735.001	461.659	290.143	181.11	119.578	84.8033	49.8197	37.3605	25.8181	19.8462	16.2308	12.7252	10.3649	12.2308	8.36487	7.89499	9.61538	5.76923	9.36034	6.46154	5.53846	1.92308	2	0.615385	3.38462	1.10134	0	1	2.07692	1.61538	0	0.307692	1.10134	0
3.72E-08	56656.4	18203.8	7676.82	3596.47	1894.04	1089.67	623.085	418.819	284.587	196.761	129.583	75.1682	61.7395	46.1502	38	34.1644	17.8536	24.5751	18	12.8536	16.4287	16	10	2	10	5.72147	4	4.72147	3	4	2.85362	1	0	0	2	3	0	1.85362	5
3.89E-08	65141.1	21894.8	9426.05	4619.75	2586.53	1550.2	959.566	627.224	429.557	317.092	219.602	148.234	109.845	89.0813	56.9991	43.9675	42.3473	39.9376	29.6585	25.7252	24.6408	23.3626	15.6444	15.8	9	15.5446	12.3333	9.84079	5.73333	4.53333	3.06667	3.53333	2.86667	2.78493	1.53333	1.33333	3.73333	3	1.06667
4.07E-08	71728	25745.5	11508.5	6066.09	3422.14	2158.21	1323.83	914.073	625.155	456.726	333.95	210.506	178.706	129.572	93.6813	76.0858	68.11	55.2575	43.805	41.7621	33.5859	40.5098	20.5098	22.0859	16.5429	16.8049	20.0859	15.5	8.0429	9.5	9.5	5.04291	6.5	7.54292	4.54291	5.54291	4	3	6.5
4.27E-08	80893.3	30140.5	14347.6	7856.5	4467.56	2877.76	1915.61	1292.92	920.665	667.895	541.72	338.323	255.226	186.971	135.778	143.469	138.568	76.5011	77.1158	55.8271	64.3134	51.6096	45.6838	44.7893	39.8946	30.0021	32.0317	28.8211	17.0037	13	17.3333	17.9371	16.2667	15.1355	8.53706	15.3188	7.09089	7.69089	9.86667
4.47E-08	88075.7	35724.2	17761.7	9891.34	5865.99	3828.93	2488.24	1802.28	1317.24	975.593	716.751	476.328	375.389	309.655	239.494	195.406	155.281	153.533	115.3	129.104	94.2742	79.012	69.6597	53.6247	37.6936	49.0243	47.2675	41.5489	28.5228	32.2427	24.2182	17.8398	14.375	17.8749	13.8432	13.528	19.6458	14.0033	12.2324
4.68E-08	96017.1	41654.6	21362.8	12352	7510.81	5010.19	3414.61	2485.69	1805.23	1335.73	1048.72	717.61	582.65	439.266	379.115	338.1	258.59	196.448	202.351	193.028	144.633	147.543	116.668	93.4336	94.8686	70.4572	78.4555	61.2691	44.8947	53.2987	47.8871	37.5279	35.0963	29.9814	35.2775	30.4011	24.3654	20.9288	19.2961
4.90E-08	103187	46899.6	25389.7	15035.3	9622.29	6482.57	4562.58	3292.5	2416.14	1882.3	1424.07	993.623	829.959	668.754	535.951	441.745	407.139	338.056	296.68	265.796	214.129	202.803	184.501	137.163	136.59	120.419	106.411	94.3593	77.9912	76.4147	66.1369	71.111	59.0173	68.4318	46.1628	46.3506	35.3506	39.4061	35.0728
5.13E-08	110214	53755.6	29902	18508	11767.7	8106.6	5591.28	4176.03	3283.1	2571.95	2013.63	1450.38	1201.98	997.528	805.96	673.237	546.45	494.724	409.069	382.271	341.403	311.858	238.402	203.341	197.414	174.233	191.043	158.539	124.833	115.989	95.4475	96.9779	66.9562	73.4187	73.3278	83.8323	66.4263	50.577	67.2611
5.37E-08	119347	60635.2	34414	21469.5	14623.8	10163.8	7196.74	5468.79	4230.23	3279.32	2630.96	1932.72	1604.18	1342.13	1129.56	925.055	757.232	687.197	654.239	563.089	503.638	410.18	410.222	338.826	291.483	252.481	222.597	209.105	163.57	181.858	147.624	169.132	131.341	133.57	121.549	98.2409	96.2223	83.4262	86.6932
5.62E-08	125371	67036.2	40153.2	25817.7	17704.1	12411.7	9087.97	7193.06	5402.37	4263.82	3400.86	2606.61	2264.13	1817.92	1559.97	1339.91	1125.98	1031.78	841.213	822.546	682.789	597.973	555.255	487.303	457.664	389.68	356.671	321.86	272.924	287.085	236.723	235.827	211.098	190.217	176.237	183.526	144.465	129.562	139.88
